name,iso,lat,lon,area
Mauritius,MUS,-20.16667,57.5,2045
Mexico,MEX,19.41667,-99.16666,1967210
Micronesia (Federated States of),FSM,6.916667,158.25,707
"Moldova, Rep.of",MDA,47.0,28.83333,33700
Mongolia,MNG,47.9,106.8667,1565500
Montserrat,MSR,16.7,-62.21667,102
Morocco,MAR,34.03333,-6.85,710850
Mozambique,MOZ,-25.96667,32.58333,801590
Namibia,NAM,-22.56667,17.1,825518
Nauru,NRU,-0.5333334,166.9167,21
Nepal,NPL,27.7,85.31667,147181
Netherland Antilles,ANT,12.1,-68.93333,960
Netherlands,NLD,52.35,4.9,41863
New Caledonia,NCL,-22.26667,166.45,19060
New Zealand,NZL,-44.28333,174.7833,268676
Nicaragua,NIC,12.1,-86.3,130670
Niger,NER,13.53333,2.083333,1267000
Nigeria,NGA,6.45,3.466667,923768
Nigeria,NGA,9.18,7.17,923768
Niue,NIU,-19.01667,-169.9167,260
Norfolk Island,NFK,-29.05,167.9667,35
Northern Mariana Islands,MNP,15.2,145.75,477
Norway,NOR,59.91667,10.75,323752
Oman,OMN,23.61667,58.63334,212379
Pakistan,PAK,33.66667,73.13333,882872
Palau,PLW,7.333333,134.4833,487
Palestine,PAL,31.53,34.44,6256
Panama,PAN,8.95,-79.5,75648
Papua New Guinea,PNG,-9.5,147.1167,462840
Paraguay,PRY,-25.25,-57.66667,406752
Peru,PER,-12.1,-77.05,1285216
Philippines,PHL,14.61667,120.9667,300000
Pitcairn,PCN,-25.06667,-130.0833,47
Poland,POL,52.25,21.0,312685
Portugal,PRT,38.73333,-9.133333,92389
Puerto Rico,PRI,18.44,-66.13,9104
Qatar,QAT,25.25,51.53333,11437
Reunion,REU,-20.86667,55.46667,2517
Romania,ROM,44.41667,26.11667,238391
Russian Federation,RUS,55.75,37.7,17075400
Rwanda,RWA,-1.933333,30.06667,26338
Saint Helena,SHN,-15.91667,-5.7,410
Saint Kitts and Nevis,KNA,17.28333,-62.71667,269
Saint Lucia,LCA,14.01667,-60.98333,617
Saint Vincent and the Grenadines,VCT,13.2,-61.23333,389
Samoa,WSM,-13.8,171.75,2842
San Marino,SMR,43.95,12.49,61
Sao Tome and Principe,STP,0.2,6.716667,964
Saudi Arabia,SAU,24.65,46.76667,2153168
Senegal,SEN,14.63333,-17.45,196722
Serbia and Montenegro,YUG,44.83333,20.5,102173
Seychelles,SYC,-4.633333,55.46667,455
Sierra Leone,SLE,8.5,-13.28333,73326
Singapore,SGP,1.283333,103.85,646
Slovakia,SVK,48.16667,17.16667,49036
Slovenia,SVN,46.06667,14.5,20256
Solomon Islands,SLB,-9.466666,159.95,29785
Somalia,SOM,2.033333,45.35,637657
South Africa,ZAF,-25.73,28.22,1219912
South Africa,ZAF,-33.93333,18.46667,1219912
Spain,ESP,40.41667,-3.716667,505954
Sri Lanka,LKA,6.916667,79.86667,65610
St. Pierre and Miquelon,SPM,46.66667,-56.16667,242
